Nodes,OfferedMbps,ThroughputMbps,AvgDelayMs,PDRPercent,PhyRxDrops,MacRetries,MacFinalDrops
2,0.1,0.103667,1.58806,100,0,0,0
3,0.2,0.206996,1.64343,100,0,0,0
4,0.3,0.31017,1.63665,100,0,0,0
5,0.4,0.413217,1.69655,100,0,0,0
6,0.5,0.516172,1.61127,100,0.8,0.2,0
7,0.6,0.61868,2.25988,99.8471,10.1,2.3,0
8,0.7,0.719513,2.90824,99.6068,4.9,0.5,0
9,0.8,0.824748,2.10042,99.8853,9.1,1.3,0
10,0.9,0.923949,3.41746,99.4903,104.4,13,0
11,1,1.02711,3.16313,99.5413,37.4,4.7,0
12,1.1,1.13021,3.22923,99.583,186.6,21.3,0
13,1.2,1.22906,4.32833,99.2355,191.2,20.9,0
14,1.3,1.33534,3.3853,99.5766,263.6,24.8,0
15,1.4,1.43638,3.52807,99.4626,143.6,12.2,0
16,1.5,1.5375,3.87035,99.3884,308.7,25.8,0
17,1.6,1.63013,5.76007,98.7844,492.9,36.5,0
18,1.7,1.73913,4.59553,99.1797,462.7,34,0
19,1.8,1.84211,4.62049,99.2355,723.2,49.4,0
20,1.9,1.94301,5.14068,99.1791,1166.4,77.2,0
21,2,2.02425,8.5369,98.1468,2449.7,152.1,0
22,2.1,2.11789,9.72182,97.8156,2893.8,174,0
23,2.2,2.22362,8.96981,98.0234,2944.8,166.6,0
24,2.3,2.32694,9.05603,98.1332,4115.6,228.6,0
25,2.4,2.42644,9.36424,98.0734,4642.4,245.2,0
26,2.5,2.50806,11.8982,97.3138,6005.9,300.6,0
27,2.6,2.62571,10.4724,97.9817,8147.4,384.2,0
28,2.7,2.73482,8.72168,98.2875,5654.5,262.2,0
29,2.8,2.79757,13.5965,96.9758,9776.9,438.3,0
30,2.9,2.91907,11.9886,97.6969,11460.9,493.5,0
